[2024-09-01T08:34:11.492+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-01T08:34:11.512+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:33:50+00:00 [queued]>
[2024-09-01T08:34:11.520+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:33:50+00:00 [queued]>
[2024-09-01T08:34:11.521+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2024-09-01T08:34:11.533+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): log_results> on 2024-09-01 08:33:50+00:00
[2024-09-01T08:34:11.545+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=174) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-01T08:34:11.547+0000] {standard_task_runner.py:72} INFO - Started process 183 to run task
[2024-09-01T08:34:11.546+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'nyc_airbnb_etl', 'log_results', 'manual__2024-09-01T08:33:50+00:00', '--job-id', '206', '--raw', '--subdir', 'DAGS_FOLDER/nyc_airbnb_etl.py', '--cfg-path', '/tmp/tmpt0o5pv11']
[2024-09-01T08:34:11.548+0000] {standard_task_runner.py:105} INFO - Job 206: Subtask log_results
[2024-09-01T08:34:11.600+0000] {task_command.py:467} INFO - Running <TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:33:50+00:00 [running]> on host b74353bc56c3
[2024-09-01T08:34:11.721+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_airbnb_etl' AIRFLOW_CTX_TASK_ID='log_results' AIRFLOW_CTX_EXECUTION_DATE='2024-09-01T08:33:50+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-01T08:33:50+00:00'
[2024-09-01T08:34:11.723+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-09-01T08:34:11.724+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-09-01T08:34:11.725+0000] {logging_mixin.py:190} INFO - Current task name:log_results state:running start_date:2024-09-01 08:34:11.512747+00:00
[2024-09-01T08:34:11.726+0000] {logging_mixin.py:190} INFO - Dag name:nyc_airbnb_etl and current dag run status:running
[2024-09-01T08:34:11.727+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-01T08:34:11.747+0000] {base.py:84} INFO - Retrieving connection 'test-connection'
[2024-09-01T08:34:11.755+0000] {sql.py:509} INFO - Running statement: SELECT * FROM information_schema.tables, parameters: None
[2024-09-01T08:34:11.793+0000] {sql.py:518} INFO - Rows affected: 243
[2024-09-01T08:34:11.796+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'airbnb_listings', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.797+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.798+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'dag_priority_parsing_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.799+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.799+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.800+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'job', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.801+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'slot_pool', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.802+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.803+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.804+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:34:11.805+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'callback_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.806+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'dag_code', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.807+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.808+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:34:11.809+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'dag_pickle', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:34:11.810+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:34:11.810+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:34:11.811+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
